type,text
ham,1) go write msg 2) put dictionary mode 3)cover screen hand  4)press &lt;#&gt;   5)gently remove ur hand   its interesting  :)
ham,okie   
ham,hi yijue  meet u 11 tmr 
ham,its posible dnt live &lt;#&gt; century cm frwd n thnk different
ham,but dint slept afternoon 
ham,that seems unnecessarily affectionate
ham,yar else i'll thk sorts funny things 
ham,you place man
spam,download many ringtones u like restrictions  1000s 2 choose  u even send 2 yr buddys  txt sir 80082 £3
ham,thats cool  how day 
spam,please call 08712402902 immediately urgent message waiting you 
ham,r going &lt;#&gt; bus 
ham,hello  love   how went day   are alright   i think you  sweet send jolt heart remind     i love you  can hear   i screamed across sea world hear  ahmad al hallaq loved   owned   *possessive passionate kiss*
ham,no  he joined today itself 
ham,okay me  well thanks clarification
ham,i'll talk others probably come early tomorrow
spam,spook mob halloween collection logo & pic message plus free eerie tone  txt card spook 8007 zed 08701417012150p per logo/pic
ham,had money issue weigh thanks you  i breathe easier now  i ll make sure dont regret it  thanks 
ham,hi  i'm sorry missed call  can pls call back 
ham,how doing  hope settled new school year  just wishin gr8 day
spam,fantasy football back tv  go sky gamestar sky active play £250k dream team  scoring starts saturday  register now sky opt out 88088
ham,ok need tell anything going sleep good night
ham,ok try week end course coimbatore 
spam,tone club: your subs expired 2 re-sub reply monoc 4 monos polyc 4 polys 1 weekly @ 150p per week txt stop 2 stop this msg free stream 0871212025016
ham,v nice  off 2 sheffield tom 2 air opinions categories 2 b used 2 measure ethnicity next census  busy transcribing  :-)
ham,if r @ home come within 5 min
ham,"a boy loved gal  he propsd bt didnt mind  he gv lv lttrs  bt frnds threw thm  again boy decided 2 aproach gal   dt time truck speeding towards gal  wn 2 hit girl d boy ran like hell n saved her  she asked 'hw cn u run fast ' d boy replied ""boost secret energy"" n instantly girl shouted ""our energy"" n thy lived happily 2gthr drinking boost evrydy moral story:- i hv free msgs:d;): gud ni8"
ham,that day ü say ü cut ur hair paragon  called hair sense  do ü noe much hair cut 
ham,hmm  many unfortunately    pics obviously arent hot cakes  its kinda fun tho
ham,watching tv lor    y funny bluff 4 wat  izzit thk impossible us 
spam,xmas prize draws  we trying contact u  todays draw shows £2000 prize guaranteed  call 09058094565 land line  valid 12hrs
ham,dunno lei neva say   
ham,thanx 4 2day  u r goodmate i think ur rite sary  asusual 1 u cheered me up  love u franyxxxxx
ham,i'm way home  went change batt 4 watch go shop bit lor 
spam,yes  the place town meet exciting adult singles uk  txt chat 86688 now  150p/msg 
ham,hi  mobile no  &lt;#&gt; added contact list www fullonsms com it great place send free sms people for visit fullonsms com
ham,good evening sir  hope nice day  i wanted bring notice i late paying rent past months pay $ &lt;#&gt; charge  i felt would inconsiderate nag something give great cost that's didnt speak up  i however recession wont able pay charge month hence askin well ahead month's end  can please help  thank everything 
ham,if let this  want house 8am 
ham,"best line said love:   ""i wait till day i forget u or the day u realize u cannot forget me ""    gn"
ham,i reach ten morning
ham,your pussy perfect 
ham,sorry  i'll call later
spam,someone contacted dating service entered phone becausethey fancy you  to find call landline 09058098002  pobox1  w14rg 150p
ham,no message  no responce  what happend 
ham,also where's piece
ham,"wiskey brandy rum gin beer vodka scotch shampain wine ""kudi""yarasu dhina vaazhthukkal    "
ham,boo  how's things  i'm back home little bored already :-(
ham,first gained &lt;#&gt; kg since took in  second done blood sugar tests  if ok blood pressure within normal limits worries
ham,pick ur fone up now u dumb 
ham,thanks da thangam  feel happy dear  i also miss da 
ham,okey doke  i'm home  dressed cos laying around ill  speak later bout times stuff 
ham,i run away frm u    i walk slowly &amp; kills u care enough stop me   
ham,babe  i'm back     come back    
ham,well told others marry them   
ham,neshanth  tel r u 
ham,yo yo yo byatch whassup 
ham,oh    kay    on sat right 
ham,hi  this roger cl  how you 
spam,babe: u want dont u baby  im nasty thing 4 filthyguys  fancy rude time sexy bitch  how go slo n hard  txt xxx slo(4msgs)
ham,oh oh    wasted    den muz chiong sat n sun liao   
ham,jesus christ bitch i'm trying give drugs answer fucking phone
ham,please give 2 pick tuesday evening 8 ok 
ham,i'm meeting darren   
ham,"one best dialogue cute reltnship     ""wen die  dont come near my body     bcoz my hands may not come 2 wipe ur tears off that time   gud ni8"
ham,solve case : a man was found murdered on &lt;decimal&gt;   &lt;#&gt; afternoon  1 his wife called police  2 police questioned everyone  3 wife: sir i sleeping  murder took place  4 cook: i cooking  5 gardener: i picking vegetables  6 house-maid: i went 2 post office  7 children: we went 2 play  8 neighbour: we went 2 marriage  police arrested murderer immediately  who's it  reply with reason  if u r brilliant 
ham,dear reach
ham,aww that's first time u said u missed without asking i missed u first  you do love me  :)
ham,ok    thanx    gd nite 2 ü too   
ham,come right now  ahmad
spam,i know u u know me  send chat 86688 let's find other  only 150p/msg rcvd  hg/suite342/2lands/row/w1j6hl ldn  18 years over 
ham,lol please do  actually send pic right now  i wanna see  pose comb hair dryer something 
ham,o fps then 
ham,huh means computational science    y like dat one push n there   
ham,could read me  love   i answered
ham,oh    lk tt den take e one tt ends cine lor    dun wan yogasana oso can   
ham,madam regret disturbance might receive reference check dlf premarica kindly informed rgds rakhesh kerala 
spam,sms services for inclusive text credits pls gotto www comuk net login 3qxj9 unsubscribe stop extra charge help 08702840625 comuk 220cm2 9ae
ham,oic    then better quickly go bathe n settle down   
ham,err    cud do  i'm going 8pm  i got way contact then 
ham,a bloo bloo bloo i'll miss first bowl
ham,lmao fun   
ham,oh k k:)but big hitter anyway good
ham,hey    i almost forgot     happy b-day babe   i love ya  
spam,valentines day special  win £1000 quiz take partner trip lifetime  send go 83600 now  150p/msg rcvd  custcare:08718720201
ham,do think move &lt;#&gt; week
ham,she s find  i sent offline message know anjola's now 
spam,guess i this first time i created web page www asjesus com read i wrote  i'm waiting opinions  i want friend 1/1
ham,how txting driving
ham,that's good  lets thank god  please complete drug  have lots water  and beautiful day 
ham,really dun bluff leh    u sleep early too  nite   
ham,"indians r poor india poor country  says one swiss bank directors  he says "" &lt;#&gt; lac crore"" indian money deposited swiss banks used 'taxless' budget &lt;#&gt; yrs  can give &lt;#&gt; crore jobs indians  from village delhi 4 lane roads  forever free power suply &lt;#&gt; social projects  every citizen get monthly &lt;#&gt; /- &lt;#&gt; yrs  no need world bank &amp; imf loan  think money blocked rich politicians  we full rights corrupt politicians  itna forward karo ki pura india padhe g m """
ham,uncle boye  i need movies oh  guide me  plus know torrents particularly legal here  and system slowing down  what do  have gr8 day  plus started cos dont meet online  how honey moon 
ham,oh ya ya  i remember da   
ham,btw regarding really try see anyone else 4th guy commit random dude
spam,for ur chance win £250 cash every wk txt: play 83370  t's&c's www music-trivia net custcare 08715705022  1x150p/wk 
ham,i busy juz dun wan 2 go early   hee  
ham,rightio  11 48 then  well arent bright early morning 
ham,great  i'm church now  holla get
ham,back brum  thanks putting us keeping us happy  see soon
ham,i donno scorable
ham,&lt;#&gt; great loxahatchee xmas tree burning update: totally see stars
ham,yes dont care  i need bad  princess 
ham,the guy (kadeem) selling since break  i know one guy he's paranoid fuck like selling without i can't til late tonight
ham,sorry  i'll call later
ham,tmr ü brin lar    aiya later come n c lar    mayb ü neva set properly ü got da help sheet wif ü   
ham,do u knw dis no  &lt;#&gt;  
ham,then dun believe wat 
ham,k  give back thanks 
ham,i know complain num only  bettr directly go bsnl offc nd apply it  
ham,okay  i've seen it  so pick friday 
ham,how much payed  suganya 
ham,left dessert  u wan 2 go suntec look 4 u 
ham,abeg  make profit  but start  are using get sponsors next event 
ham,onum ela pa  normal than 
ham,k k  how sister kids 
ham,cool  i'll text i'm way
ham,nope  meanwhile talk say make greet you 
ham,cant talk now i call can dont keep calling 
ham,anything lar   
ham,rose needs water  season needs change  poet needs imagination  my phone needs ur sms need ur lovely frndship forever    
ham,good afternoon  babe  how goes day   any job prospects yet   i miss you  love     *sighs*     :-(
ham,they pick drop car so problem  
ham,s i think waste rr  
ham,he world famamus    
ham,is coming friday leave pongal do get news work place 
ham,lol well without me  we could big sale together 
ham,* am way
ham,eat old airport road    but 630 oredi    got lot pple   
ham,sry can't talk phone  parents
spam,final chance  claim ur £150 worth discount vouchers today  text yes 85023 now  savamob  member offers mobile  t cs savamob pobox84  m263uz  £3 00 subs 16
ham,ok lor wat time ü finish 
ham,princess  like make love &lt;#&gt; times per night  hope thats problem 
ham,mm way railway
ham,dnt wnt tlk wid u
ham,i'm done  i'm sorry  i hope next space gives everything want  remember furniture yours  if i'm around move it  lock locks leave key jenne 
ham,not yet  just i'd like keep touch easiest way barcelona  by way ru house 
spam,sppok ur mob halloween collection nokia logo&pic message plus free eerie tone  txt card spook 8007
spam,urgent  call 09066612661 landline  your complementary 4* tenerife holiday £10 000 cash await collection sae t&cs po box 3 wa14 2px 150ppm 18+ sender: hol offer
ham,k :)do evening da:)urgent:)
ham,pansy  you've living jungle two years  its driving worried about 
ham,mm kanji dont eat anything heavy ok
ham,only promise getting soon can  and text morning let know made ok 
ham,lol that's different  i go trying find every real life photo ever took 
ham,i dont thnk wrong calling us
ham,k ill drink pa doing  i need srs model pls send mail id pa 
ham,aiyah e rain like quite big leh  if drizzling least run home 
ham,i 2 docs appointments next week :/ i'm tired shoving stuff me  ugh i normal body 
ham,dun b sad   it's over   dun thk abt already  concentrate ur papers k 
ham,greetings me    consider excused 
ham,no drama pls i enough family struggling hot sun strange place no reason ego going 'if not invited' actually necessity go wait serious reppurcussions 
ham,released another italian one today cosign option
ham,you mu  you try figure much money everyone gas alcohol  jay i trying figure weed budget
spam,winner  as valued network customer hvae selected receive £900 reward  to collect call 09061701444  valid 24 hours only  acl03530150pm
ham,hcl chennai requires freshers voice process excellent english needed salary upto &lt;#&gt;  call ms suman &lt;#&gt; telephonic interview -via indyarocks com
ham,dai da   can send resume id 
ham,i know &lt;#&gt; is  i'll around 5
ham,yup i've finished c ü there   
ham,remember ask alex pizza
ham,no da  today also forgot  
ham,ola would get back maybe today i told direct link us getting cars bids online  arrange shipping get cut  or u      for partnership u      invest money shipping takes care rest u  wud b self reliant soon dnt worry
ham,fwiw reason i'm around time smoke gas i afford around someone tells apparently happens somebody wants light
ham,hello  boytoy  i made home constant thought you  love  i hope nice visit i can't wait till come home    *kiss*
ham,congrats kano  whr treat maga 
ham,who u talking about 
ham,yup   
ham,ok   
ham,u wake already  wat u doing  u picking us later rite  i'm taking sq825  reaching ard 7 smth 8 like dat  u check e arrival time  c ya soon   
ham,yunny i'm walking citylink ü faster come down    me hungry   
ham,er yep sure  props 
ham,hiya   u paying money account  if so  thanks  got pleasant surprise checked balance -u c  get statements 4 acc
spam,u nokia 6230 plus free digital camera  this u get u win free auction  to take part send nokia 83383 now  pobox114/14tcr/w1 16
ham,ok ill send &lt;decimal&gt; ok 
ham,bognor is  should splendid time year 
ham,yes i'm office da:)
ham,sorry  i'll call later
ham,joy's father john  then john name joy's father  mandan
ham,ok  i ask abt e movie  u wan ktv oso 
ham,misplaced number sending texts old number  wondering i've heard year  all best mcat  got number atlanta friends
ham,sorry  i'll call later
ham,dunno lei    i might b eatin wif frens    if ü wan eat wait 4 ü lar
ham,sorry  i'll call later
spam,free entry £250 weekly comp send word win 80086 now  18 t&c www txttowin co uk
ham,say slowly   god i love you &amp; i need you clean my heart with your blood send ten special people &amp; u c miracle tomorrow  it pls pls it   
ham,do u noe 2 send files 2 computers 
ham,mmmmm     i loved waking words morning   i miss too  love  i hope day goes well happy  i wait us together
ham,jay says he'll put &lt;#&gt;
ham,can come sec  there's somebody i want see
ham,so sun anti sleep medicine 
ham,what's happening you  have gotten job begun registration permanent residency
ham,yup ok   
ham,glad went well :) come 11 we'll plenty time claire goes work 
ham,ok enjoy   r u home 
ham,can pls pls send mail know relatives coming deliver here  all know costs  risks  benefits anything else  thanks 
ham,you like
ham,that's haf combine n c lor   
ham,the monthly amount terrible pay anything till 6months finishing school 
ham,hmmm:)how many players selected 
ham,they said gonna snow  start around 8 9 pm tonite  they predicting inch accumulation 
ham,i dont  can send me  plus how's mode 
ham,aiyo please ü got time meh 
ham,package programs well
ham,she sister   she belongs 2 family   she hope tomorrow   pray 4 her who fated 4 shoranur train incident  lets hold hands together &amp; fuelled love &amp; concern prior 2 grief &amp; pain  pls join dis chain &amp; pass it  stop violence against women 
ham,so guys asking get slippers gone last year
ham,company good environment terrific food really nice:)
spam,text82228>> get ringtones  logos games www txt82228 com  questions: info@txt82228 co uk
ham,honestly i've made lovely cup tea promptly dropped keys burnt fingers getting out 
ham,yup studying surfing lor  i'm e lazy mode today 
ham,please sen :)my kind advice :-)please come try:-)
ham,i'm done  c ü there 
ham,oh fine  i'll tonight
ham,ü give time walk there 
ham,i'll reach ard 20 mins ok   
spam,freemsg you awarded free mini digital camera  reply snap collect prize  (quizclub opt out  stop 80122300p/wk sp:rwm ph:08704050406)
ham,fuck babe     what happened   how come never came back 
spam,this message brought gmw ltd  connected
ham,some friends want drive em someplace  probably take
ham,i also thk fast    xy suggest one me  u dun wan ok  going 2 rain leh got gd 
ham,are still getting goods 
ham,and maybe pressies
ham,yeah i am  i'll leave maybe 7ish 
ham,k  k  i'm also fine:)when complete course 
ham,under sea  lays rock  in rock  envelope  in envelope  paper  on paper  3 words    '
ham,i told i dr appt next week  she thinks i'm gonna die  i told check  nothing worried about  but listen 
ham,you room  i need
ham,i dont want hear anything
ham,hey  for leave friday  wait ask superior tell you  
ham,ultimately tor motive tui achieve korli 
ham,from 5 2 work timing 
ham,… don‘t worry we‘ll finished march … ish 
ham,the house water dock  boat rolled newscaster dabbles jazz flute behind wheel
spam,congrats 2 mobile 3g videophones r yours  call 09063458130 now  videochat wid ur mates  play java games  dload polyph music  noline rentl  bx420  ip4  5we  150p
spam,your next amazing xxx picsfree1 video sent enjoy  if one vid enough 2day text back keyword picsfree1 get next video 
ham,now thats going ruin thesis 
ham,in sch neva mind u eat 1st lor  
ham,hey whats up  u sleeping morning 
ham,erm  i thought contract ran the4th october 
ham,i dunno when    lets go learn pilates   
spam,u subscribed best mobile content service uk £3 per ten days send stop 83435  helpline 08706091795 
ham,yup i'm elaborating safety aspects issues  
spam,3 free tarot texts  find love life now  try 3 for free  text chance 85555 16 only  after 3 free  msgs £1 50
ham,goodmorning  today late 1hr 
ham,hi happy birthday  hi hi hi hi hi hi hi
ham,i outside office take
ham,if respond imma assume still asleep imma start calling n shit
ham,aight  see bit
ham,my superior telling friday leave department except ours:)so leave you:)any way call waheed fathima hr conform it:)
spam,join uk's horniest dogging service u sex 2nite   just sign follow instructions  txt entry 69888 now  nyt ec2a 3lp msg@150p
ham,lol i take it  member i said aunt flow visit 6 months  it's cause i developed ovarian cysts  bc way shrink them 
ham,still work going on:)it small house 
ham,my friend got says he's upping order grams (he's got $ &lt;#&gt; )  get here 
ham,tmr timin still da wat cos got lesson 6   
ham,that‘s thing apes  u fight death keep something  minute u let go  thats it 
spam,sunshine quiz wkly q  win top sony dvd player u know country liverpool played mid week  txt ansr 82277  £1 50 sp:tyrone
ham,no i'm gonna able to  || late notice  || i'll home weeks anyway  || plans
ham,got fujitsu  ibm  hp  toshiba    got lot model say   
ham,okie    thanx   
ham,gosh   pain  spose i better come then 
ham,as usual  iam fine  happy &amp; well  :)
ham,okie
ham,so gonna get rimac access
ham,"""im arestaurant eating squid  10:30 wanna dosomething late """
ham,you call times job today ok umma ask speed
ham,"""hello u call wen u finish wrk i fancy meetin up wiv u all tonite as i need a break from dabooks  did 4 hrs last nite+2 today of wrk """
ham,r u &sam p in eachother  if we meet we can go 2 my house
ham,:-) yeah  lol  luckily starring role like you 
ham,hello madam  
ham,awesome  text restocked
ham,as usual  iam fine  happy &amp; well  :)
spam,knock knock txt whose 80082 enter r weekly draw 4 £250 gift voucher 4 store yr choice  t&cs www tkls com age16 stoptxtstop£1 50/week
ham,yes  it's innocent fun  o:-)
ham,thanks sending mental ability question  
ham,sir  hope day going smoothly  really hoped wont bother this  i bills can't settle month  i extra cash  i know challenging time also let know 
ham,2marrow only  wed &lt;#&gt; 2 aha 
ham,i went ur hon lab one there 
ham,i cant pick phone right now  pls send message
ham,hey pple   $700 $900 5 nights   excellent location wif breakfast hamper   
spam,<forwarded 21870000>hi - mailbox messaging sms alert  you 40 matches  please call back 09056242159 retrieve messages matches cc100p/min
ham,how come 
ham,lol  nah bad thanks  its good b home quite reality check  hows ur day been  did u anything website 
ham,ok lor   
ham,i'm coming home 4 dinner 
ham,s da  al r &lt;#&gt;
spam,"free ring tone text ""polys"" 87131  then every week get new tone  0870737910216yrs £1 50/wk "
ham,unni thank dear recharge  rakhesh
ham,i know i'm lacking particular dramastorm's details part i'm worried
ham,haha    they cant what    at tmr forfeit    haha how 
ham,hey there  glad u r better now  i hear u treated urself digi cam  good  we r 9pm  have fab new year  c u coupla wks 
ham,no way i'm going back there 
spam,urgent  your mobile no 077xxx won £2 000 bonus caller prize 02/06/03  this 2nd attempt reach you  call 09066362206 asap  box97n7qp  150ppm
ham,i will cal you sir  in meeting
ham,that's i love hear :v see sundayish 
ham,sorry da thangam  sorry held prasad 
ham,tiwary rcb battle bang kochi 
ham,thank god bed 
ham,no i cancer  moms making big deal regular checkup aka pap smear
ham,am gobi arts college
ham,why wants talk
ham,pandy joined 4w technologies today he got job  
spam,you guaranteed latest nokia phone  40gb ipod mp3 player £500 prize  txt word: collect no: 83355  ibhltd ldnw15h 150p/mtmsgrcvd18
ham,they try  they get lost  fact  tee hee
ham,hi  you spoke maneesha v  we'd like know satisfied experience  reply toll free yes no 
ham,my friends use call same 
ham,sorry  i'll call later
ham,em  olowoyey@ usc edu great time argentina  not sad secretary  everything blessing
ham,it  s taxt massage    tie-pos argh ok  lool 
ham,hi  please get &lt;#&gt; dollar loan you  i ll pay back mid february  pls 
ham,you might want pull case plan spending can  i much confidence derek taylor's money management
ham,do like shaking booty dance floor 
ham,text get off  call  phones problems
ham,no need drug anymore 
ham,sorry da:)i thought calling lot times:)lil busy i call noon  
ham,its sarcasm    nt scarcasim
ham,great  i run ttyl 
ham,feel like trying kadeem again  :v
ham,dai &lt;#&gt; naal eruku 
ham,not yet chikku  wat abt u 
ham,ok   
ham,want finally lunch today 
ham,do know dad back 
spam,hello darling today  i would love chat  dont tell look like sexy 
spam,8007 free 1st week  no1 nokia tone 4 ur mob every week txt nokia 8007 get txting tell ur mates www getzed co uk pobox 36504 w4 5wq norm 150p/tone 16+
ham,he remains bro amongst bros
ham,r u meeting da ge nite tmr 
ham,* was nice day and  impressively  sensible  went home early feel fine  or boring   when's yours  can't remember 
ham,why de  you looking good only:-)  
spam,wanna get laid 2nite  want real dogging locations sent direct ur mobile  join uk's largest dogging network  txt park 69696 now  nyt  ec2a  3lp £1 50/msg
spam,tried contact response offer new nokia fone camcorder hit reply call 08000930705 delivery
ham,yes  they replied mail  i'm going management office later  plus bank later also or wednesday 
ham,that's cool  i'll come like &lt;#&gt; ish
ham,super msg da:)nalla timing 
ham,good afternoon  boytoy     how feeling today   better i hope  are good boy  are obedient  slave  do please queen 
ham,i 6 ft  we good combination 
ham,i'm sick    i'm needy    i want    *pouts* *stomps feet* where    *pouts* *stomps feet* i want slave    i want   
ham,* am train back northampton i'm afraid not 
ham,where abj serving  are staying dad alone 
ham,was playng 9 doors game gt racing phone lol
spam,new tones this week include: 1)mcfly-all ab    2) sara jorge-shock   3) will smith-switch   to order follow instructions next message
ham,solve case : a man was found murdered on &lt;decimal&gt;   &lt;#&gt; afternoon  1 his wife called police  2 police questioned everyone  3 wife: sir i sleeping  murder took place  4 cook: i cooking  5 gardener: i picking vegetables  6 house-maid: i went 2 post office  7 children: we went 2 play  8 neighbour: we went 2 marriage  police arrested murderer immediately  who's it  reply with reason  if u r brilliant 
ham,i'm da bus going home   
ham,i got call landline number      i asked come anna nagar       i go afternoon
ham,i'm okay  chasing dream  what's good  what next 
ham,yupz    i've oredi booked slots 4 weekends liao   
spam,urgent  we trying contact u  todays draw shows £800 prize guaranteed  call 09050003091 land line  claim c52  valid 12hrs
ham,there r many model  sony ericson also der   &lt;#&gt;   it luks good bt forgot modl
ham,okie
ham,yes i know cheesy songs frosty snowman :)
ham,ya ok  vikky vl c witin &lt;#&gt; mins il reply u  
spam,sports fans - get latest sports news str* 2 ur mobile 1 wk free plus free tone txt sport on 8007 www getzed co uk 0870141701216+ norm 4txt/120p
ham,hey tmr meet bugis 930  
spam,urgent urgent  we 800 free flights europe give away  call b4 10th sept & take friend 4 free  call claim 09050000555  ba128nnfwfly150ppm
ham,all nice new shirts thing i wear nudist themed ;_; mu 
ham,hey sexy buns  what day  no word morning ym     :-(     i think
ham,and whenever see still hook too 
ham,nope i'm going home go pump petrol lor    like going 2 rain soon   
ham,can use foreign stamps whatever send for 
spam,from 88066 lost £12 help
ham,oh baby house  how come dont new pictures facebook
ham,"feb &lt;#&gt; ""i love u"" day  send dis ur ""valued frnds"" evn me  if 3 comes back u'll gt married person u luv  if u ignore dis u lose ur luv 4 evr"
ham,hiya  sorry hav signal  i seen heard neither has  unusual itself  i'll put case get sort out  hugs snogs 
ham,omw back tampa west palm  hear happened 
ham,yup already    thanx 4 printing n handing up 
spam,freemsg: fancy flirt  reply date & join uks fastest growing mobile dating service  msgs rcvd 25p optout txt stop 83021  reply date now 
ham,what mean come chase stated watch many movies want 
ham,s took tablets   reaction morning only 
spam,great new offer - double mins & double txt best orange tariffs and get latest camera phones 4 free  call mobileupd8 free 08000839402 now  2stoptxt t&cs
ham,nah  i'm perpetual dd
ham,sorry de went shop 
spam,hope enjoyed new content  text stop 61610 unsubscribe  help:08712400602450p provided tones2you co uk
ham,wen ur lovable bcums angry wid u  dnt take seriously   coz angry childish n true way showing deep affection  care n luv    kettoda manda    have nice day da 
ham,hey still want go yogasana  coz end cine go bathe hav steam bath
ham,nope i'm drivin    i neva develop da photos lei   
ham,i thinking going reg pract lessons   flung advance   haha wat time u going 
ham,cool  i &lt;#&gt; inches long  hope like big 
ham,house-maid murderer  coz man murdered &lt;#&gt; th january   as public holiday govt instituitions closed including post office  understand 
ham,okie   thanx  
spam,18 days euro2004 kickoff  u kept informed latest news results daily  unsubscribe send get euro stop 83222 
ham,go n buy  juz buy get lar 
ham,ok lor   
ham,i'm working technical support :)voice process 
ham,it's justbeen overa week since broke already brains going mush 
ham,tunde  doing  this wishing great day  abiola 
ham,nope    c ü then   
ham,no  but we'll medical missions nigeria
ham,no movies laptop
ham,whatsup there  dont u want sleep
spam,urgent please call 09066612661 landline  £5000 cash luxury 4* canary islands holiday await collection  t&cs sae award  20m12aq  150ppm  16+ “
spam,urgent  please call 09066612661 landline  complimentary 4* lux costa del sol holiday £1000 cash await collection  ppm 150 sae t&cs james 28  eh74rr
ham,i havent lei   next mon can 
ham,mm feeling sleepy  today shall get dear
ham,how dare stupid  i wont tell anything you  hear wont talk you:- 
ham,do ü noe ben going 
ham,can mag meeting avo point 
ham,i meant middle left right 
ham,really  i crashed cuddled sofa 
ham,hi chachi tried calling u unable reach u    pl give missed cal u c tiz msg kanagu
ham,i sent prices mean &lt;#&gt; g 
ham,are much buzy
ham,nothing  can   
spam,i know u u know me  send chat 86688 let's find other  only 150p/msg rcvd  hg/suite342/2lands/row/w1j6hl ldn  18 years over 
ham,no * working ringing u thing whole houseful screaming brats * pulling hair out  loving u
ham,but family responding anything  now room went home diwali one called coming  it makes feel like died 
ham,tick  tick  tick     babe
ham,r ü going 4 today's meeting 
ham,k da:)how many page want 
ham,ya now onion roast 
ham,send number give reply tomorrow morning said like ok
ham,you said now  no problem  when can  let know 
ham,ok tell half hr b4 u come need 2 prepare 
ham,play w computer  aiyah tok 2 u lor 
ham,sat right  okay thanks   
ham,derp  which worse  dude always wants party dude files complaint three drug abusers lives
ham,ok chinese food way  when i get fat paying lipo 
ham,we r outside already 
ham,have good trip  watch   remember get back must decide easter 
ham,yo watching movie netflix
ham,what time  i‘m prob 3
ham,can meh  thgt clash    really ah  dun mind    i dun seen lost weight    gee   
ham,i dont thnk wrong calling us
ham,i sure night menu      i know noon menu
ham,arr birthday today:) wish get oscar 
ham,say slowly   god i love you &amp; i need you clean my heart with your blood send ten special people &amp; u c miracle tomorrow  it pls pls it   
ham,open rebtel firefox  when loads put plus sign user name place  show two numbers  the lower number number  once pick number pin display okay 
ham,picking various points
spam,married local women looking discreet action now  5 real matches instantly phone  text match 69969 msg cost 150p 2 stop txt stop bcmsfwc1n3xx
ham,wow v v impressed  have funs shopping 
ham,i way ur home
spam,burger king - wanna play footy top stadium  get 2 burger king 1st sept go large super coca-cola walk winner
ham,no problem  talk later
ham,then ur sis how 
ham,still customer place
spam,how come takes little time child afraid dark become teenager wants stay night 
ham,dude u knw also telugu  thts gud  k  gud nyt  
ham,we confirm eating esplanade 
ham,send id password
ham,kind of  took garage  centre part exhaust needs replacing  part ordered n taking fixed tomo morning 
spam,for ur chance win £250 cash every wk txt: action 80608  t's&c's www movietrivia tv custcare 08712405022  1x150p/wk 
ham,well i might come then   
ham,long i quit  i get like 5 minutes day is 
ham,then likely called mittelschmertz  google it  if dont paracetamol dont worry go 
ham,well right i'm gonna get check today's steam sales/pee text want come get
ham,just arrived  see couple days &lt;3
ham,k  wat tht incident 
ham,yeah get unlimited
ham,cthen thk shd b enuff   still got conclusion n contents pg n references   i'll b da contents pg n cover pg  
ham,forgot takes 3 years shower  sorry  where at/your phone dead yet 
ham,ü got wat buy tell us ü need come again 
ham,when big  | god bring success 
spam,u’ve bin awarded £50 play 4 instant cash  call 08715203028 to claim  every 9th player wins min £50-£500  optout 08718727870
ham,"… r stayin extra week  back next wed  how rugby weekend  hi   c u soon """
ham,well there's still bit left guys want tonight
ham,not campus  are library 
ham,the affidavit says &lt;#&gt; e twiggs st  division g  courtroom &lt;#&gt;   &lt;time&gt; am  i'll double check text tomorrow
ham,how i creep now  ;_;
ham,tell friends plan valentines day @ &lt;url&gt;
ham,if i get ten billion calls texts help god
ham,purity friendship two smiling reading forwarded message  its smiling seeing name  gud evng musthu
ham,i've told i've returned it  that order it 
ham,house-maid murderer  coz man murdered &lt;#&gt; th january   as public holiday govt instituitions closed including post office  
ham,depends u going lor 
ham,and smile right go world wonder smiling think crazy keep away     *grins*
spam,freemsg>fav xmas tones reply real
ham,lil fever:) fine:)
ham,i think still car
ham,can not 
spam,december only  had mobile 11mths+  you entitled update latest colour camera mobile free  call the mobile update co free 08002986906
ham,yes princess  i want catch big strong hands   
ham,oh yeah i forgot  u take 2 shopping once 
ham,mm asked call radio
ham,thinkin someone good  no drugs
ham,say slowly   god i love you &amp; i need you clean my heart with your blood send ten special people &amp; u c miracle tomorrow  it pls pls it   
ham,enjoy showers possessiveness poured u ur loved ones  bcoz world lies  golden gift loved truly  
ham,alright sure  let know leaving
ham,some lasting much 2 hours  you might get lucky 
ham,genius what's up  how brother  pls send number skype 
spam,gr8 poly tones 4 all mobs direct 2u rply poly title 8007 eg poly breathe1 titles: crazyin  sleepingwith  finest  ymca :getzed co uk pobox365o4w45wq 300p
ham,thk em find wtc far    weiyi goin    e rest dunno yet    r ur goin 4 dinner den might b able join   
ham,don't forget owns who's private property     and good boy always    *passionate kiss*
spam,interflora - it's late order interflora flowers christmas call 0800 505060 place order midnight tomorrow 
ham,oh god  taken teeth is paining
spam,romcapspam everyone around responding well presence since warm outgoing  you bringing real breath sunshine 
ham,then u ask darren go n pick u lor    but oso sian tmr haf 2 meet lect   
ham,no need buy lunch me   i eat maggi mee  
spam,congratulations - thanks good friend u won £2 000 xmas prize  2 claim easy  call 08712103738 now  only 10p per minute  bt-national-rate
ham,ok lor   
ham,oh right  ok  i'll make sure loads work day  got really nasty cough today dry n shot really help it 
ham,wife how knew time murder exactly
spam,send logo 2 ur lover - 2 names joined heart  txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo  pobox36504w45wq txtno 4 ads 150p 
ham,howz persons story
ham,thanx 4 sending home   
ham,its normally hot mail  com see 
